Contagem,Ano,Título,Gênero,País,Nacionalidade,Distribuidora,Origem_distribuidora,Público_exibição,Renda
735,2018,A Noiva Do Deserto,Ficção,"Argentina, Chile",Estrangeira,Imovision,Distribuição Nacional,6145.0,94437.0
736,2018,A Número Um,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,5810.0,89840.0
737,2018,A Odisseia,Ficção,França,Estrangeira,Esfera Produções,Distribuição Nacional,6253.0,101220.0
738,2018,A Origem do Dragão*,Ficção,"China, Estados Unidos",Estrangeira,Imagem,Distribuição Nacional,3279.0,41810.0
739,2018,A Outra Mulher,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,43625.0,748977.0
740,2018,A Prece,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,3775.0,57910.0
741,2018,A Primeira Noite De Crime,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,150746.0,2127142.0
742,2018,A primeira noite de um homem,Ficção,Estados Unidos,Estrangeira,Zeta Filmes,Distribuição Nacional,3859.0,45751.0
743,2018,A Pé Ele Não Vai Longe,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,10480.0,213298.0
744,2018,A Repartição Do Tempo,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,2497.0,34722.0
745,2018,A Rota Selvagem,Ficção,Estados Unidos,Estrangeira,Califórnia/Diamond Films,Distribuição Nacional,3651.0,58110.0
746,2018,A Superfície Da Sombra,Ficção,Brasil,Brasileira,Panda Filmes,Distribuição Nacional,1178.0,17097.0
747,2018,A Trama*,Ficção,França,Estrangeira,Esfera Produções,Distribuição Nacional,50.0,434.0
748,2018,A Tropa De Trapo - Na Selva Do Arco-Íris,Animação,"Brasil, Espanha",Brasileira,Raiz Distribuidora,Distribuição Nacional,108.0,520.0
749,2018,A Viagem De Fanny,Ficção,"Bélgica, França",Estrangeira,Alphaville Filmes,Distribuição Nacional,140.0,1849.0
750,2018,A Vida De Uma Mulher,Ficção,"Bélgica, França",Estrangeira,Alphaville Filmes,Distribuição Nacional,77.0,1012.0
751,2018,A Vida Em Família,Ficção,Itália,Estrangeira,Pagu Pictures,Distribuição Nacional,17070.0,281928.0
752,2018,A Vida Em Si,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,83520.0,1668722.0
753,2018,A Vida Extra-Ordinária De Tarso De Castro,Documentário,Brasil,Brasileira,Boulevard Filmes,Distribuição Nacional,1413.0,13578.0
754,2018,A Voz Do Silêncio,Ficção,"Argentina, Brasil",Brasileira,Imovision,Distribuição Nacional,2932.0,41423.0
755,2018,A Ópera de Paris*,Documentário,"França, Suíça",Estrangeira,Imovision,Distribuição Nacional,2069.0,32103.0
756,2018,A Última Abolição,Documentário,Brasil,Brasileira,Pipoca & Filmes,Distribuição Nacional,3791.0,49484.0
757,2018,A Última Chance,Ficção,Brasil,Brasileira,Europa,Distribuição Nacional,51.0,582.0
758,2018,Abrindo O Armário,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,1641.0,14791.0
759,2018,Acertando O Passo,Ficção,Reino Unido,Estrangeira,Califórnia,Distribuição Nacional,22073.0,378108.0
760,2018,Acossado,Ficção,França,Estrangeira,Zeta Filmes,Distribuição Nacional,4540.0,50100.0
761,2018,Acrimônia - Ela Quer Vingança,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,3159.0,58303.0
762,2018,Adeus à Linguagem,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,330.0,3069.0
763,2018,Afterimage,Ficção,Polônia,Estrangeira,Imovision,Distribuição Nacional,25.0,211.0
764,2018,Alfa,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,508192.0,7754800.0
765,2018,Alguma Coisa Assim,Ficção,"Alemanha, Brasil",Brasileira,Vitrine Filmes,Distribuição Nacional,5576.0,71523.0
766,2018,Alguém Como Eu,Ficção,"Portugal, Brasil",Brasileira,Downtown/Paris,Distribuição Nacional,28530.0,402739.0
767,2018,Altas Expectativas,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,2.0,9.0
768,2018,Além Da Ilusão,Ficção,"Bélgica, França",Estrangeira,Alphaville Filmes,Distribuição Nacional,143.0,1990.0
769,2018,Além Das Palavras,Ficção,"Bélgica, Reino Unido",Estrangeira,Cineart Filmes,Distribuição Nacional,158.0,1716.0
770,2018,Além Do Homem,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,2841.0,47539.0
771,2018,Amanhã Chegou,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,686.0,6033.0
772,2018,Amante Por Um Dia,Ficção,França,Estrangeira,Fênix Filmes,Distribuição Nacional,11284.0,156568.0
773,2018,Amigos Alienígenas,Animação,"Alemanha, Dinamarca, Luxemburgo",Estrangeira,Playarte,Distribuição Nacional,52098.0,757468.0
774,2018,Amores De Chumbo,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,2456.0,21529.0
775,2018,Ana E Vitória,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,72919.0,992171.0
776,2018,Animais Fantásticos E Onde Habitam,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Warner,Distribuição Internacional,211.0,3915.0
777,2018,Animais Fantásticos: Os Crimes De Grindelwald,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Warner,Distribuição Internacional,3550891.0,59301701.0
778,2018,Anna Karenina: A História De Vronsky,Ficção,Rússia,Estrangeira,Umes,Distribuição Nacional,10085.0,165145.0
779,2018,Antes Do Fim,Ficção,Brasil,Brasileira,Bela Filmes,Distribuição Nacional,1251.0,11961.0
780,2018,Antes o Tempo não Acabava*,Ficção,Brasil,Brasileira,Livres Filmes,Distribuição Nacional,40.0,175.0
